  Ref #,Carrier,Service Level,Tracking #,Status,Ship Date,Location,To ID,To Company,Discounted Cost,Published Cost,Marked Up Cost,Payment Type,Shipment Type,Delivery Status,Last Updated By,Last Updated Date,Comments
901,SAIA,Standard,999999999993,canceled,2025-12-16 09:27:14,NA Spare Parts,Unknown,Paccable Corp.,734.19,7094.09,881.03,sender,Outbound,canceled,Pritesh Shah,2025-12-16 19:58:20,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-16 13:30:43,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-12-17 00:01:08,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-16 13:29:08,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-16 23:59:50,0
900,FedEx,FedEx 2 Day A.M.,794630712211,shipped,2025-12-16 13:20:28,NA Spare Parts,Unknown,ADAMS CO.,232.34,232.34,278.81,sender,Outbound,shipped,Pritesh Shah,2025-12-16 23:52:12,0
903,UPS,UPS Ground,Unknown,draft,2025-12-16 08:44:49,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-16 19:14:56,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-16 09:28:49,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-16 19:59:19,0
904,SAIA,Standard,999999999993,shipped,2025-12-16 13:25:22,NA Spare Parts,Unknown,Paccable Corp.,734.19,7094.09,881.03,sender,Outbound,shipped,Pritesh Shah,2025-12-16 23:56:14,0
900,FedEx,FedEx 2 Day A.M.,794630691893,shipped,2025-12-16 09:24:33,NA Spare Parts,Unknown,ADAMS CO.,232.34,232.34,278.81,sender,Outbound,shipped,Pritesh Shah,2025-12-16 19:55:42,0
800005,ESTES,Standard,Unknown,draft,2025-12-17 13:38:14,NA Spare Parts,AID672847499,Dental Delights,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-17 13:43:50,0
800004,FedEx,Fedex Ground,794630646640,shipped,2025-12-16 11:30:46,NA Spare Parts,Unknown,Dental Delights,210.15,210.15,252.18,sender,Outbound,shipped,Bhavana Musuluri,2025-12-16 11:43:11,0
800003,FedEx,FedEx International Priority,Unknown,draft,2025-12-16 10:59:08,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-16 10:59:11,0
800002,UPS,UPS Ground,Unknown,draft,2025-12-16 10:58:33,NA Spare Parts,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-16 10:58:37,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 13:57:20,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-12-16 00:28:25,0
902,UPS,UPS Worldwide Saver,Unknown,draft,2025-12-15 13:28:50,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-15 23:59:04,0
901,SAIA,Standard,999999999993,shipped,2025-12-15 13:46:25,NA Spare Parts,Unknown,Paccable Corp.,734.19,7094.09,881.03,sender,Outbound,shipped,Pritesh Shah,2025-12-16 00:17:29,0
900,FedEx,FedEx 2 Day A.M.,794630618055,shipped,2025-12-15 13:35:06,NA Spare Parts,Unknown,ADAMS CO.,232.34,232.34,278.81,sender,Outbound,shipped,Pritesh Shah,2025-12-16 00:12:48,0
444,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-17 16:00:07,NA Spare Parts,Unknown,Test,32.71,87.29,39.25,sender,Outbound,shipped,Logan Sappington,2025-12-18 02:30:42,0
901,SAIA,Standard,999999999993,shipped,2025-12-15 11:25:52,NA Spare Parts,Unknown,Paccable Corp.,734.19,7094.09,881.03,sender,Outbound,shipped,Pritesh Shah,2025-12-15 21:56:22,0
900,FedEx,FedEx Express Saver,794630598910,shipped,2025-12-15 11:23:36,NA Spare Parts,Unknown,ADAMS CO.,164.33,164.33,197.2,sender,Outbound,shipped,Pritesh Shah,2025-12-15 21:54:31,0
800005,ESTES,Standard,0868298094,shipped,2025-12-15 21:10:25,NA Spare Parts,AID672847499,Dental Delights,1055.6,5366.15,1266.72,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 21:13:35,0
800004,FedEx,Fedex Ground,794630595028,shipped,2025-12-15 20:55:43,NA Spare Parts,Unknown,Dental Delights,138.18,138.18,165.82,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 21:02:52,0
800003,FedEx,FedEx International Priority,794630595440,shipped,2025-12-15 21:05:55,NA Spare Parts,AID672847499,Deutsches Museum,498.18,498.18,597.82,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 21:08:05,0
800002,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 21:15:08,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 21:16:07,0
901-13,Unknown,Unknown,Unknown,draft,2025-12-15 09:51:46,Unknown,Unknown,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-15 20:21:48,0
901-15,AAA Cooper,Standard,2000011765808988005,shipped,2025-12-15 09:29:36,NA Spare Parts,Unknown,Paccable Corp.,970.54,6477.74,1060.54,sender,Outbound,shipped,Pritesh Shah,2025-12-15 19:59:53,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 10:25:55,NA Spare Parts,Unknown,Test,58.69,113.53,70.43,sender,Outbound,shipped,Pritesh Shah,2025-12-15 20:56:38,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 11:26:42,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-15 21:57:09,0
901,AAA Cooper,Standard,2000011765812237000,shipped,2025-12-15 10:21:49,NA Spare Parts,Unknown,Paccable Corp.,970.54,6477.74,1164.65,sender,Outbound,shipped,Pritesh Shah,2025-12-15 20:54:02,0
900,FedEx,FedEx Express Saver,794630594054,shipped,2025-12-15 10:16:02,NA Spare Parts,Unknown,ADAMS CO.,164.33,164.33,197.2,sender,Outbound,shipped,Pritesh Shah,2025-12-15 20:49:47,0
800001-2,Unknown,Unknown,Unknown,draft,2025-12-15 16:21:52,Unknown,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-15 16:21:52,0
800001-1,Unknown,Unknown,Unknown,draft,2025-12-15 16:21:39,Unknown,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-15 16:21:39,0
800001,UPS,UPS Ground,23456789,shipped,2025-12-15 13:08:16,NA Spare Parts,Unknown,Test,58.69,113.53,64.69,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 16:20:24,0
test-ship,FedEx,Fedex Ground,Unknown,draft,2025-12-15 13:00:57,NA Spare Parts,Unknown,Trump Tower,0.0,0.0,0.0,sender,Outbound,pending,Piyovi Dev,2025-12-15 13:02:20,0
800002,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 15:36:04,NA Spare Parts,Unknown,Test,58.69,113.53,64.69,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 15:40:03,0
800003,FedEx,FedEx International Priority,794630576857,shipped,2025-12-15 15:22:23,NA Spare Parts,AID672847499,Deutsches Museum,498.18,498.18,0.0,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 15:31:21,0
800004,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 14:19:06,NA Spare Parts,Unknown,Dental Delights,41.16,41.58,47.16,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 14:46:57,0
800005,ESTES,Standard,0868298057,shipped,2025-12-15 14:50:17,NA Spare Parts,AID672847499,Dental Delights,769.18,5079.73,859.18,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 15:00:56,0
800008,ESTES,Standard,0868298056,shipped,2025-12-15 13:26:43,NA Spare Parts,AID672847499,Dental Delights,563.16,4873.71,653.16,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 13:26:54,0
800007,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 13:26:31,NA Spare Parts,Unknown,Dental Delights,156.92,211.26,162.92,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 13:26:34,0
800006,FedEx,FedEx International Economy,794630551143,shipped,2025-12-15 13:10:28,NA Spare Parts,AID672847499,Deutsches Museum,428.33,428.33,0.0,sender,Outbound,shipped,Bhavana Musuluri,2025-12-15 13:25:43,0
Unknown,Unknown,Unknown,Unknown,validated,2025-12-12 14:17:01,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-12 14:18:09,0
Unknown,Unknown,Unknown,Unknown,validated,2025-12-12 14:16:47,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-12 14:17:01,0
907,Canada Post,Expedited Parcel,Unknown,draft,2025-12-11 12:49:24,CloudLeap Canada,105900,Canada Place,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-11 23:19:36,0
906,Purolator,Purolator Ground 10:30AM,Unknown,draft,2025-12-11 12:48:46,CloudLeap Canada,105900,Canada Place,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-11 23:19:05,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-11 14:31:17,NA Spare Parts,Unknown,Test,58.92,113.77,64.92,sender,Outbound,shipped,Pritesh Shah,2025-12-12 01:01:38,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-11 14:28:42,NA Spare Parts,AID672847499,Deutsches Museum,516.97,522.19,0.0,sender,Outbound,shipped,Pritesh Shah,2025-12-12 01:00:12,0
901,SAIA,Standard,999999999993,shipped,2025-12-11 14:27:22,NA Spare Parts,Unknown,Paccable Corp.,734.19,7094.09,824.19,sender,Outbound,shipped,Pritesh Shah,2025-12-12 00:58:01,0
900,FedEx,FedEx Express Saver,794630226821,shipped,2025-12-11 14:23:40,NA Spare Parts,Unknown,ADAMS CO.,169.28,169.28,0.0,sender,Outbound,shipped,Pritesh Shah,2025-12-12 00:55:11,0
810,SAIA,Guaranteed by 5 PM,Unknown,draft,2025-12-10 11:03:05,NA Spare Parts,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-10 21:33:10,0
804,UPS,UPS Worldwide Saver,Unknown,draft,2025-12-10 10:25:20,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-10 20:55:46,0
802,FedEx,FedEx Standard Overnight,Unknown,draft,2025-12-10 10:24:37,NA Spare Parts,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-10 20:54:44,0
801,UPS,UPS Worldwide Saver,Unknown,draft,2025-12-10 10:00:38,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-10 20:30:47,0
800,SAIA,Guaranteed by 5 PM,999999999993,shipped,2025-12-10 10:59:10,NA Spare Parts,105900,Paccable Corp.,1525.87,13643.88,1615.87,sender,Outbound,shipped,Logan Sappington,2025-12-10 21:30:50,0
800007,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-10 16:15:56,NA Spare Parts,Unknown,Dental Delights,157.37,211.71,163.37,sender,Outbound,shipped,Bhavana Musuluri,2025-12-10 16:20:03,0
800006,FedEx,FedEx International Economy,Unknown,draft,2025-12-10 15:55:29,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-10 15:55:33,0
800008,ESTES,Standard,Unknown,draft,2025-12-10 15:55:42,NA Spare Parts,AID672847499,Dental Delights,0.0,0.0,0.0,sender,Outbound,pending,Bhavana Musuluri,2025-12-10 15:55:51,0
800008,ESTES,Standard,0868295775,shipped,2025-12-10 12:33:30,NA Spare Parts,AID672847499,Dental Delights,563.16,4873.71,653.16,sender,Outbound,shipped,Bhavana Musuluri,2025-12-10 12:34:43,0
800008,ESTES,Standard,0868295672,shipped,2025-12-09 13:25:12,NA Spare Parts,AID672847499,Dental Delights,515.98,515.98,605.98,sender,Outbound,shipped,Bhavana Musuluri,2025-12-09 13:30:31,0
800006,FedEx,FedEx International Economy,794629996087,shipped,2025-12-10 12:30:16,NA Spare Parts,AID672847499,Deutsches Museum,428.33,428.33,0.0,sender,Outbound,shipped,Bhavana Musuluri,2025-12-10 12:32:13,0
800007,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-10 12:24:25,NA Spare Parts,Unknown,Dental Delights,157.37,211.71,163.37,sender,Outbound,shipped,Bhavana Musuluri,2025-12-10 12:27:41,0
903-25,Unknown,Unknown,Unknown,draft,2025-12-08 13:39:26,Unknown,Unknown,Test,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-09 00:09:23,0
902-22,Unknown,Unknown,Unknown,draft,2025-12-08 13:39:22,Unknown,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-09 00:09:19,0
901-12,Unknown,Unknown,Unknown,draft,2025-12-08 13:39:16,Unknown,Unknown,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-09 00:09:12,0
900-21,Unknown,Unknown,Unknown,draft,2025-12-08 13:39:08,Unknown,Unknown,ADAMS CO.,0.0,0.0,0.0,sender,Outbound,pending,Unknown User,2025-12-09 00:09:05,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-08 10:39:02,NA Spare Parts,AID672847499,Deutsches Museum,516.97,522.19,0.0,sender,Outbound,shipped,Pritesh Shah,2025-12-08 21:14:25,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-08 10:50:20,NA Spare Parts,Unknown,Test,58.92,113.77,64.92,sender,Outbound,shipped,Pritesh Shah,2025-12-08 21:20:49,0
901,SAIA,Standard,999999999993,shipped,2025-12-08 10:33:50,NA Spare Parts,Unknown,Paccable Corp.,737.96,7097.86,827.96,sender,Outbound,shipped,Pritesh Shah,2025-12-08 21:05:32,0
900,FedEx,FedEx Express Saver,794629629357,shipped,2025-12-08 10:18:56,NA Spare Parts,Unknown,ADAMS CO.,169.28,169.28,0.0,sender,Outbound,shipped,Pritesh Shah,2025-12-08 20:59:28,0
7070-4-1-1-1,UPS,UPS 2nd Day Air,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-08 14:17:40,NA Spare Parts,Unknown,Wall Street Ferry Pier 11,201.53,203.57,207.53,sender,Outbound,shipped,Srikanth Bandi,2025-12-08 14:20:30,0
903,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-04 00:02:22,NA Spare Parts,Unknown,Test,59.15,114.0,65.15,sender,Outbound,shipped,Pritesh Shah,2025-12-04 10:32:42,0
902,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-15 13:54:38,NA Spare Parts,AID672847499,Deutsches Museum,515.93,521.14,619.12,sender,Outbound,shipped,Pritesh Shah,2025-12-16 00:25:11,0
901,SAIA,Standard,999999999993,shipped,2025-12-03 23:57:45,NA Spare Parts,Unknown,Paccable Corp.,737.96,7097.86,827.96,sender,Outbound,shipped,Pritesh Shah,2025-12-04 10:29:30,0
900,FedEx,FedEx 2 Day,794628532836,shipped,2025-12-03 23:55:21,NA Spare Parts,Unknown,ADAMS CO.,203.05,203.05,0.0,sender,Outbound,shipped,Pritesh Shah,2025-12-04 10:26:34,0
666,Unknown,Unknown,Unknown,draft,2025-12-03 14:29:29,NA Spare Parts,Unknown,Unknown,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-04 00:59:32,0
667,SAIA,Guaranteed by 5 PM,Unknown,draft,2025-12-03 14:29:43,NA Spare Parts,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Logan Sappington,2025-12-04 00:59:49,0
555,SAIA,Guaranteed by 5 PM,999999999993,shipped,2025-12-03 13:19:20,NA Spare Parts,105900,Paccable Corp.,1220.36,11232.1,1310.36,sender,Outbound,shipped,Logan Sappington,2025-12-03 23:52:16,0
901-11,SAIA,Standard,999999999993,shipped,2025-12-03 12:27:26,NA Spare Parts,Unknown,Paccable Corp.,737.96,7097.86,827.96,sender,Outbound,shipped,Pritesh Shah,2025-12-03 22:58:55,0
53-1,UPS,UPS Ground,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-02 14:03:38,NA Spare Parts,Unknown,Test,59.15,114.0,65.15,sender,Outbound,shipped,Pranav Kode,2025-12-03 00:33:49,0
90,USPS Stamps,Media Mail,9449050899563000372359,shipped,2025-12-02 23:53:26,NA Spare Parts,Unknown,300 S Civic Center Dr,26.22,26.22,116.22,sender,Outbound,shipped,Pranav Kode,2025-12-03 00:03:39,0
Unknown,USPS Stamps,Media Mail,9449050899563000372335,shipped,2025-12-02 23:37:44,NA Spare Parts,Unknown,300 S Civic Center Dr,26.22,26.22,116.22,sender,Outbound,shipped,Piyovi Dev,2025-12-02 23:39:03,0
900-20,FedEx,FedEx 2 Day A.M.,794628497201,shipped,2025-12-03 12:24:52,NA Spare Parts,Unknown,ADAMS CO.,237.29,237.29,248.29,sender,Outbound,shipped,Pritesh Shah,2025-12-03 22:55:07,0
50,FedEx,FedEx 2 Day,794628338130,shipped,2025-12-02 13:21:33,NA Spare Parts,Unknown,ADAMS CO.,199.05,199.05,0.0,sender,Outbound,shipped,Pranav Kode,2025-12-02 23:53:34,0
52,UPS,UPS Worldwide Saver,1ZXXXXXXXXXXXXXXXX,shipped,2025-12-02 13:30:02,NA Spare Parts,AID672847499,Deutsches Museum,523.2,528.48,0.0,sender,Outbound,shipped,Pranav Kode,2025-12-03 00:00:46,0
51,SAIA,Standard,Unknown,draft,2025-12-02 12:48:16,NA Spare Parts,105900,Paccable Corp.,0.0,0.0,0.0,sender,Outbound,pending,Pranav Kode,2025-12-02 23:18:27,0
50,FedEx,FedEx 2 Day,794628335163,shipped,2025-12-02 12:56:19,NA Spare Parts,Unknown,ADAMS CO.,199.05,199.05,0.0,sender,Outbound,shipped,Pranav Kode,2025-12-02 23:27:15,0
80000786,ESTES,Standard,1618146186,shipped,2025-12-02 15:36:49,NA Spare Parts,224491,ABC Customer,1837.34,10512.64,1927.34,sender,Outbound,shipped,Bhavana Musuluri,2025-12-02 15:41:16,0
80000786,FedEx,Fedex Ground,794628201872,canceled,2025-12-02 15:25:21,NA Spare Parts,Unknown,ABC Customer,130.16,130.16,0.0,sender,Outbound,canceled,Bhavana Musuluri,2025-12-02 15:33:55,0
234,RL,Standard,WZ1836756,shipped,2025-12-01 22:44:15,NA Spare Parts,43096,AG SPECIALISTS INC KIM ALVAREZ,2117.25,4001.42,2207.25,sender,Outbound,shipped,Bhavana Musuluri,2025-12-01 22:47:31,0
901,SAIA,Standard,999999999993,shipped,2025-12-01 12:27:42,NA Spare Parts,Unknown,Paccable Corp.,739.85,7099.75,829.85,sender,Outbound,shipped,Pritesh Shah,2025-12-01 22:58:04,0
902,UPS,UPS Worldwide Saver,Unknown,draft,2025-12-01 12:02:44,NA Spare Parts,AID672847499,Deutsches Museum,0.0,0.0,0.0,sender,Outbound,pending,Pritesh Shah,2025-12-01 22:32:43,0
